Symbol,Type,EntryTimeUTC,EntryPrice,LotSize,SL,TP,ExitTimeUTC,ExitPrice,Status,Commission,PnL_Currency,BalanceAfterTrade
BTCJPY,SELL,2025-04-03 13:05:00+00:00,12176555.0,0.01,12216954.0,12014959.0,2025-04-03 13:10:00+00:00,12014959.0,TP_HIT,0.21,10.850189177720285,2678.2644790521604
ETHUSD,SELL,2025-04-03 13:15:00+00:00,1787.2,0.1,1796.22,1751.12,2025-04-03 13:25:00+00:00,1770.04,SL_HIT,0.3,1.4160000000000081,2679.6804790521605
USDCHF,SELL,2025-04-03 13:35:00+00:00,0.86272,0.01,0.86396,0.85776,2025-04-03 13:40:00+00:00,0.85776,TP_HIT,0.1,5.962828505072822,2685.6433075572336
GBPJPY,SELL,2025-04-03 13:45:00+00:00,192.773,0.01,193.052,191.657,2025-04-03 13:55:00+00:00,191.657,TP_HIT,0.15,7.4882900086237765,2693.131597565857
GBPJPY,SELL,2025-04-03 14:05:00+00:00,191.888,0.01,192.193,190.668,2025-04-03 14:15:00+00:00,191.632,SL_HIT,0.15,1.6021525467811057,2694.7337501126385
BTCXAU,SELL,2025-04-03 14:30:00+00:00,26.65949,0.01,26.79667,26.11077,2025-04-03 14:45:00+00:00,26.11077,TP_HIT,0.2,18.2843245872001,2713.0180746998385
ETHUSD,SELL,2025-04-03 14:50:00+00:00,1760.74,0.1,1773.78,1708.58,2025-04-03 15:25:00+00:00,1773.78,SL_HIT,0.3,-1.6039999999999965,2711.4140746998387
AUDJPY,SELL,2025-04-04 02:25:00+00:00,92.085,0.01,92.225,91.525,2025-04-04 03:05:00+00:00,91.525,TP_HIT,0.09,3.742833696083584,2715.156908395922
BTCJPY,SELL,2025-04-04 03:30:00+00:00,12075998.0,0.01,12112158.0,11931358.0,2025-04-04 04:25:00+00:00,12054330.0,SL_HIT,0.21,1.2730328665489439,2716.429941262471
BTCJPY,SELL,2025-04-04 04:50:00+00:00,12035685.0,0.01,12068595.0,11904045.0,2025-04-04 05:10:00+00:00,12035457.0,SL_HIT,0.21,-0.19439489138023078,2716.2355463710905
XAUUSD,SELL,2025-04-04 07:35:00+00:00,3094.917,0.01,3099.764,3075.529,2025-04-04 08:45:00+00:00,3084.899,SL_HIT,0.11,9.90800000000003,2726.1435463710905
GBPJPY,SELL,2025-04-04 09:10:00+00:00,189.93,0.01,190.235,188.71,2025-04-04 09:45:00+00:00,190.235,SL_HIT,0.15,-2.2375254951884718,2723.906020875902
GBPJPY,SELL,2025-04-04 10:10:00+00:00,190.022,0.01,190.32,188.83,2025-04-04 10:50:00+00:00,188.83,TP_HIT,0.15,8.008460295949373,2731.9144811718515
GBPJPY,SELL,2025-04-04 11:00:00+00:00,190.015,0.01,190.309,188.839,2025-04-04 11:05:00+00:00,188.839,TP_HIT,0.15,7.8989507617756125,2739.8134319336273
GBPJPY,SELL,2025-04-04 11:20:00+00:00,188.539,0.01,188.955,186.875,2025-04-04 11:35:00+00:00,188.695,SL_HIT,0.15,-1.217717958194776,2738.5957139754323
